account_number,issue_date,company,previous_charges,previous_payment,previous_charges_outstanding,current_charges,payment_due_date,__filename,number,subtotal,name,period,charge
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,98457024,48.0,HKBN mobile services Disc.,2025/06/01 - 2025/06/30,-30.0
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,98457024,48.0,Administration Fee,2025/06/01 - 2025/06/30,18.0
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,98457024,48.0,Administration Fee Disc.,2025/06/01 - 2025/06/30,-18.0
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,98457043,48.0,"HKBN mobile services (6GB, 3000 mins)",2025/06/01 - 2025/06/30,78.0
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,98457043,48.0,HKBN mobile services Disc.,2025/06/01 - 2025/06/30,-30.0
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,98457043,48.0,Administration Fee,2025/06/01 - 2025/06/30,18.0
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,98457043,48.0,Administration Fee Disc.,2025/06/01 - 2025/06/30,-18.0
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,98457065,48.0,"HKBN mobile services (6GB, 3000 mins)",2025/06/01 - 2025/06/30,78.0
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,98457065,48.0,HKBN mobile services Disc.,2025/06/01 - 2025/06/30,-30.0
001181070,2025-06-01,HYAKUNOUSHA INTERNATIONAL LIMITED,3061.72,3061.0,0.72,3078.0,2025-06-18,hkbn_invoice.pdf,98457065,48.0,Administration Fee,2025/06/01 - 2025/06/30,18.0
